Product ID,Category,Sub-Category,Product Name,Sales
OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56
OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4
FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41
OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56
TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30
OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48
OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68
TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824
OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73
FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76
FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115
OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968
OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05
FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936
FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04
OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784
OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248
FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708
OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74
OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9
OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984
OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376
FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96
TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16
OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368
OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1
TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584
OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48
OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96
FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34
OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96
OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682
FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312
OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624
TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976
OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788
OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896
FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882
TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112
TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992
OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304
TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96
FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96
OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24
OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096
OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72
OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976
OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464
FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53
OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794
FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04
OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84
OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56
OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02
TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04
FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558
FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7
OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388
OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992
FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424
FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56
TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97
OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304
OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456
OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04
OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,35.44
OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52
OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02
OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176
OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88
FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12
FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8
OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82
OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86
OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,143.7
OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43
OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93
FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888
TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45
TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84
OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55
OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92
TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184
OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38
OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,105.52
OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88
OFF-AR-10001547,Office Supplies,Art,Newell 311,6.63
FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568
OFF-LA-10002475,Office Supplies,Labels,Avery 519,14.62
TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,944.93
OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98
TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384
OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,28.4
OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68
OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,9.936
TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952
OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928
FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06
OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064
OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98
TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976
OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94
OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,110.96
FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",340.144
OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448
OFF-LA-10003148,Office Supplies,Labels,Avery 51,20.16
OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264
FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802
OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88
OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28
OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816
TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744
TEC-PH-10003273,Technology,Phones,AT&T TR1909W,503.96
TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),149.95
TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,29
OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,7.16
TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8
OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224
OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016
FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136
TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76
OFF-PA-10000061,Office Supplies,Paper,Xerox 205,51.84
FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352
OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9
OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,14.28
OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408
OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048
OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26
OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946
OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056
OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744
FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75
OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6
OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.284
FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168
TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768
OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92
TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98
OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92
OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52.29
OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99
TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,20.8
OFF-LA-10004544,Office Supplies,Labels,Avery 505,23.68
FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45
TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,62.982
TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188
TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584
OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06
TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,302.376
OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.584
OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704
OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,19.776
FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704
TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,479.988
OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168
OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2
FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,622.45
OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest,21.98
FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,161.568
FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",389.696
OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,18.648
FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,233.86
FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,620.6145
OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,5.328
FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072
TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,617.976
OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56
OFF-PA-10003349,Office Supplies,Paper,Xerox 1957,25.92
FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68
FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings,11.688
TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector,31.984
FUR-TA-10002607,Furniture,Tables,KI Conference Tables,177.225
FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories,4.044
OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408
FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86
OFF-ST-10002276,Office Supplies,Storage,Safco Steel Mobile File Cart,166.72
OFF-PA-10004082,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88
OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25
OFF-PA-10000061,Office Supplies,Paper,Xerox 205,25.92
FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568
OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61
TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,3347.37
OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",80.58
OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,361.92
FUR-FU-10002505,Furniture,Furnishings,Eldon 100 Class Desk Accessories,12.132
OFF-ST-10004804,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",82.368
OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",53.92
TEC-PH-10001580,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,647.904
TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,20.37
OFF-ST-10002790,Office Supplies,Storage,Safco Industrial Shelving,221.55
OFF-BI-10003460,Office Supplies,Binders,Acco 3-Hole Punch,17.52
OFF-AP-10002203,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.624
TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982
TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958
TEC-PH-10001433,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,328.224
TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse,79.9
OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",14.016
OFF-FA-10003472,Office Supplies,Fasteners,Bagged Rubber Bands,7.56
OFF-ST-10004180,Office Supplies,Storage,Safco Commercial Shelving,37.208
OFF-EN-10004386,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",57.576
OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,725.84
TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.93
FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection,5.28
OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,10.92
OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",8.82
OFF-AR-10001427,Office Supplies,Art,Newell 330,5.98
OFF-PA-10000673,Office Supplies,Paper,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",11.648
OFF-PA-10004470,Office Supplies,Paper,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",18.176
OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office,59.712
OFF-LA-10002043,Office Supplies,Labels,Avery 489,24.84
OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,2.08
TEC-PH-10001760,Technology,Phones,Bose SoundLink Bluetooth Speaker,1114.4
FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84
OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,141.76
TEC-AC-10001956,Technology,Accessories,Microsoft Arc Touch Mouse,239.8
OFF-PA-10004100,Office Supplies,Paper,Xerox 216,31.104
OFF-BI-10000778,Office Supplies,Binders,GBC VeloBinder Electric Binding Machine,254.058
OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",194.528
OFF-SU-10000646,Office Supplies,Supplies,Premier Automatic Letter Opener,961.48
OFF-FA-10002983,Office Supplies,Fasteners,Advantus SlideClip Paper Clips,19.096
OFF-LA-10004689,Office Supplies,Labels,Avery 512,18.496
TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930,255.984
